ASI600A Export Data File
Created: Wed Sep  9 13:02:08 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.37200     1.00011     0.01511 
   66.37220     1.00013     0.01486 
   66.37240     1.00008     0.01476 
   66.37260     1.00011     0.01481 
   66.37280     1.00011     0.01481 
   66.37300     1.00018     0.01461 
   66.37320     1.00005     0.01456 
   66.37340     1.00013     0.01456 
   66.37360     1.00011     0.01456 
   66.37380     1.00013     0.01471 
   66.37400     1.00011     0.01461 
   66.37420     1.00008     0.01456 
   66.37440     1.00011     0.01466 
   66.37460     1.00008     0.01476 
   66.37480     1.00011     0.01452 
   66.37500     1.00011     0.01461 
   66.37520     1.00005     0.01476 
   66.37540     1.00011     0.01476 
   66.37560     1.00018     0.01491 
   66.37580     1.00005     0.01481 
   66.37600     1.00013     0.01496 
   66.37620     1.00005     0.01511 
   66.37640     1.00003     0.01521 
   66.37660     1.00011     0.01526 
   66.37680     1.00003     0.01536 
   66.37700     1.00015     0.01531 
   66.37720     1.00011     0.01531 
   66.37740     1.00011     0.01511 
   66.37760     1.00008     0.01501 
   66.37780     1.00013     0.01541 
   66.37800     1.00005     0.01546 
   66.37820     1.00008     0.01536 
   66.37840     1.00008     0.01536 
   66.37860     1.00013     0.01536 
   66.37880     1.00008     0.01536 
   66.37900     1.00005     0.01536 
   66.37920     1.00011     0.01521 
   66.37940     1.00011     0.01531 
   66.37960     1.00011     0.01546 
   66.37980     1.00005     0.01536 
   66.38000     1.00013     0.01536 
   66.38020     1.00008     0.01541 
   66.38040     1.00011     0.01541 
   66.38060     1.00011     0.01541 
   66.38080     0.99997     0.01565 
   66.38100     1.00021     0.01561 
   66.38120     1.00003     0.01556 
   66.38140     1.00005     0.01541 
   66.38160     1.00013     0.01565 
   66.38180     1.00011     0.01551 
   66.38200     1.00013     0.01546 
   66.38220     1.00013     0.01565 
   66.38240     1.00008     0.01565 
   66.38260     1.00013     0.01556 
   66.38280     1.00011     0.01541 
   66.38300     1.00008     0.01551 
   66.38320     1.00013     0.01526 
   66.38340     1.00003     0.01541 
   66.38360     1.00005     0.01556 
   66.38380     1.00011     0.01546 
   66.38400     1.00008     0.01570 
   66.38420     1.00015     0.01565 
   66.38440     1.00011     0.01580 
   66.38460     1.00005     0.01585 
   66.38480     1.00018     0.01585 
   66.38500     1.00005     0.01585 
   66.38520     1.00005     0.01590 
   66.38540     1.00008     0.01615 
   66.38560     1.00011     0.01615 
   66.38580     1.00011     0.01630 
   66.38600     1.00005     0.01625 
   66.38620     1.00011     0.01650 
   66.38640     1.00000     0.01650 
   66.38660     1.00013     0.01640 
   66.38680     1.00003     0.01635 
   66.38700     1.00013     0.01640 
   66.38720     1.00008     0.01650 
   66.38740     1.00018     0.01650 
   66.38760     1.00008     0.01645 
   66.38780     1.00013     0.01635 
   66.38800     1.00005     0.01640 
   66.38820     1.00013     0.01645 
   66.38840     1.00013     0.01650 
   66.38860     1.00008     0.01645 
   66.38880     1.00008     0.01650 
   66.38900     1.00018     0.01645 
   66.38920     1.00011     0.01640 
   66.38940     1.00005     0.01640 
   66.38960     1.00013     0.01640 
   66.38980     1.00008     0.01635 
   66.39000     1.00005     0.01655 
   66.39020     1.00015     0.01655 
   66.39040     1.00005     0.01650 
   66.39060     1.00008     0.01655 
   66.39080     1.00015     0.01645 
   66.39100     1.00000     0.01655 
   66.39120     1.00008     0.01660 
   66.39140     1.00011     0.01640 
   66.39160     1.00011     0.01650 
   66.39180     1.00013     0.01655 
   66.39200     1.00005     0.01684 
   66.39220     1.00015     0.01674 
   66.39240     1.00008     0.01660 
   66.39260     1.00013     0.01670 
   66.39280     1.00015     0.01679 
   66.39300     1.00013     0.01684 
   66.39320     1.00000     0.01694 
   66.39340     1.00015     0.01694 
   66.39360     1.00013     0.01699 
   66.39380     1.00013     0.01709 
   66.39400     1.00013     0.01719 
   66.39420     1.00005     0.01724 
   66.39440     1.00013     0.01704 
   66.39460     1.00013     0.01724 
   66.39480     1.00011     0.01709 
   66.39500     1.00011     0.01704 
   66.39520     1.00011     0.01729 
   66.39540     1.00005     0.01704 
   66.39560     1.00018     0.01734 
   66.39580     1.00008     0.01744 
   66.39600     1.00005     0.01724 
   66.39620     1.00011     0.01739 
   66.39640     1.00005     0.01749 
   66.39660     1.00008     0.01714 
   66.39680     1.00011     0.01739 
   66.39700     1.00013     0.01734 
   66.39720     1.00013     0.01734 
   66.39740     1.00008     0.01729 
   66.39760     1.00015     0.01724 
   66.39780     1.00011     0.01729 
   66.39800     1.00000     0.01724 
   66.39820     1.00013     0.01729 
   66.39840     0.99995     0.01704 
   66.39860     1.00032     0.01699 
   66.39880     0.99995     0.01709 
   66.39900     1.00008     0.01714 
   66.39920     1.00024     0.01724 
   66.39940     1.00005     0.01704 
   66.39960     1.00011     0.01739 
   66.39980     1.00013     0.01749 
   66.40000     1.00013     0.01749 
   66.40020     1.00015     0.01744 
   66.40040     1.00018     0.01749 
   66.40060     1.00011     0.01749 
   66.40080     1.00011     0.01744 
   66.40100     1.00011     0.01734 
   66.40120     1.00013     0.01764 
   66.40140     1.00018     0.01774 
   66.40160     1.00008     0.01759 
   66.40180     1.00011     0.01783 
   66.40200     1.00003     0.01783 
   66.40220     1.00008     0.01774 
   66.40240     1.00011     0.01769 
   66.40260     1.00000     0.01769 
   66.40280     1.00015     0.01764 
   66.40300     1.00013     0.01779 
   66.40320     1.00003     0.01759 
   66.40340     1.00015     0.01779 
   66.40360     1.00011     0.01783 
   66.40380     1.00013     0.01783 
   66.40400     1.00015     0.01783 
   66.40420     1.00008     0.01788 
   66.40440     1.00008     0.01793 
   66.40460     1.00013     0.01779 
   66.40480     1.00011     0.01793 
   66.40500     1.00011     0.01793 
   66.40520     1.00013     0.01798 
   66.40540     1.00008     0.01803 
   66.40560     1.00005     0.01798 
   66.40580     1.00003     0.01813 
   66.40600     1.00015     0.01813 
   66.40620     1.00008     0.01798 
   66.40640     1.00005     0.01774 
   66.40660     1.00008     0.01783 
   66.40680     1.00008     0.01788 
   66.40700     1.00011     0.01788 
   66.40720     1.00003     0.01803 
   66.40740     1.00021     0.01783 
   66.40760     1.00011     0.01808 
   66.40780     1.00000     0.01813 
   66.40800     1.00013     0.01808 
   66.40820     1.00015     0.01818 
   66.40840     1.00005     0.01798 
   66.40860     1.00015     0.01803 
   66.40880     1.00008     0.01818 
   66.40900     1.00005     0.01808 
   66.40920     1.00008     0.01813 
   66.40940     1.00008     0.01823 
   66.40960     1.00005     0.01838 
   66.40980     1.00008     0.01838 
   66.41000     1.00005     0.01853 
   66.41020     1.00000     0.01833 
