ASI600A Export Data File
Created: Wed Sep  9 12:58:33 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.59600     1.00008     0.02666 
   66.59700     1.00008     0.02668 
   66.59800     1.00010     0.02679 
   66.59900     1.00010     0.02699 
   66.60000     1.00013     0.02704 
   66.60100     1.00013     0.02718 
   66.60200     1.00009     0.02723 
   66.60300     1.00009     0.02736 
   66.60400     1.00008     0.02744 
   66.60500     1.00011     0.02757 
   66.60600     1.00011     0.02761 
   66.60700     1.00008     0.02769 
   66.60800     1.00011     0.02786 
   66.60900     1.00009     0.02791 
   66.61000     1.00008     0.02814 
   66.61100     1.00008     0.02826 
   66.61200     1.00009     0.02833 
   66.61300     1.00009     0.02838 
   66.61400     1.00010     0.02858 
   66.61500     1.00010     0.02867 
   66.61600     1.00009     0.02876 
   66.61700     1.00007     0.02881 
   66.61800     1.00012     0.02899 
   66.61900     1.00010     0.02910 
   66.62000     1.00009     0.02917 
   66.62100     1.00013     0.02933 
   66.62200     1.00007     0.02934 
   66.62300     1.00009     0.02944 
   66.62400     1.00009     0.02960 
   66.62500     1.00009     0.02968 
   66.62600     1.00009     0.02983 
   66.62700     1.00010     0.02989 
   66.62800     1.00009     0.03006 
   66.62900     1.00007     0.03014 
   66.63000     1.00010     0.03025 
   66.63100     1.00009     0.03034 
   66.63200     1.00008     0.03047 
   66.63300     1.00011     0.03063 
   66.63400     1.00008     0.03062 
   66.63500     1.00008     0.03083 
   66.63600     1.00010     0.03089 
   66.63700     1.00011     0.03097 
   66.63800     1.00010     0.03110 
   66.63900     1.00011     0.03129 
   66.64000     1.00007     0.03142 
   66.64100     1.00010     0.03146 
   66.64200     1.00013     0.03158 
   66.64300     1.00011     0.03161 
   66.64400     1.00009     0.03177 
   66.64500     1.00011     0.03182 
   66.64600     1.00010     0.03199 
   66.64700     1.00010     0.03220 
   66.64800     1.00009     0.03222 
   66.64900     1.00013     0.03230 
   66.65000     1.00011     0.03244 
   66.65100     1.00011     0.03251 
   66.65200     1.00009     0.03263 
   66.65300     1.00009     0.03273 
   66.65400     1.00008     0.03282 
   66.65500     1.00011     0.03290 
   66.65600     1.00007     0.03302 
   66.65700     1.00010     0.03315 
   66.65800     1.00009     0.03329 
   66.65900     1.00009     0.03333 
   66.66000     1.00008     0.03349 
   66.66100     1.00011     0.03361 
   66.66200     1.00008     0.03368 
   66.66300     1.00009     0.03384 
   66.66400     1.00010     0.03397 
   66.66500     1.00009     0.03402 
   66.66600     1.00013     0.03407 
   66.66700     1.00010     0.03430 
   66.66800     1.00010     0.03426 
   66.66900     1.00009     0.03453 
   66.67000     1.00010     0.03464 
   66.67100     1.00013     0.03470 
   66.67200     1.00011     0.03482 
   66.67300     1.00011     0.03491 
   66.67400     1.00010     0.03507 
   66.67500     1.00011     0.03506 
   66.67600     1.00012     0.03525 
   66.67700     1.00009     0.03533 
   66.67800     1.00008     0.03551 
   66.67900     1.00009     0.03556 
   66.68000     1.00009     0.03571 
   66.68100     1.00008     0.03576 
   66.68200     1.00011     0.03588 
   66.68300     1.00009     0.03609 
   66.68400     1.00013     0.03613 
   66.68500     1.00010     0.03625 
   66.68600     1.00012     0.03640 
   66.68700     1.00010     0.03651 
   66.68800     1.00011     0.03666 
   66.68900     1.00010     0.03670 
   66.69000     1.00011     0.03685 
   66.69100     1.00010     0.03692 
   66.69200     1.00010     0.03694 
   66.69300     1.00010     0.03716 
   66.69400     1.00010     0.03727 
   66.69500     1.00010     0.03733 
   66.69600     1.00010     0.03737 
   66.69700     1.00008     0.03769 
   66.69800     1.00008     0.03770 
   66.69900     1.00010     0.03783 
   66.70000     1.00009     0.03791 
   66.70100     1.00011     0.03803 
   66.70200     1.00010     0.03821 
   66.70300     1.00011     0.03829 
   66.70400     1.00010     0.03850 
   66.70500     1.00009     0.03851 
   66.70600     1.00013     0.03864 
   66.70700     1.00010     0.03867 
   66.70800     1.00011     0.03881 
   66.70900     1.00008     0.03903 
   66.71000     1.00010     0.03911 
   66.71100     1.00011     0.03926 
   66.71200     1.00010     0.03927 
   66.71300     1.00012     0.03937 
   66.71400     1.00007     0.03941 
   66.71500     1.00008     0.03971 
   66.71600     1.00010     0.03980 
   66.71700     1.00008     0.03988 
   66.71800     1.00008     0.04005 
   66.71900     1.00012     0.04006 
   66.72000     1.00010     0.04023 
   66.72100     1.00009     0.04028 
   66.72200     1.00009     0.04044 
   66.72300     1.00007     0.04064 
   66.72400     1.00010     0.04077 
   66.72500     1.00007     0.04090 
   66.72600     1.00009     0.04093 
   66.72700     1.00011     0.04106 
   66.72800     1.00009     0.04115 
   66.72900     1.00008     0.04126 
   66.73000     1.00009     0.04143 
   66.73100     1.00008     0.04148 
   66.73200     1.00010     0.04171 
   66.73300     1.00011     0.04168 
   66.73400     1.00010     0.04192 
   66.73500     1.00010     0.04188 
   66.73600     1.00013     0.04208 
   66.73700     1.00011     0.04223 
   66.73800     1.00011     0.04234 
   66.73900     1.00010     0.04245 
   66.74000     1.00010     0.04257 
   66.74100     1.00010     0.04270 
   66.74200     1.00008     0.04283 
   66.74300     1.00009     0.04294 
   66.74400     1.00008     0.04304 
   66.74500     1.00009     0.04314 
   66.74600     1.00007     0.04335 
   66.74700     1.00010     0.04343 
   66.74800     1.00007     0.04359 
   66.74900     1.00009     0.04356 
   66.75000     1.00008     0.04385 
   66.75100     1.00011     0.04394 
   66.75200     1.00008     0.04411 
   66.75300     1.00010     0.04414 
   66.75400     1.00011     0.04421 
   66.75500     1.00010     0.04433 
   66.75600     1.00013     0.04447 
   66.75700     1.00008     0.04469 
   66.75800     1.00010     0.04474 
   66.75900     1.00011     0.04491 
   66.76000     1.00009     0.04507 
   66.76100     1.00012     0.04519 
   66.76200     1.00009     0.04530 
   66.76300     1.00008     0.04543 
   66.76400     1.00010     0.04548 
   66.76500     1.00008     0.04559 
   66.76600     1.00009     0.04577 
   66.76700     1.00010     0.04589 
   66.76800     1.00008     0.04598 
   66.76900     1.00013     0.04610 
   66.77000     1.00010     0.04616 
   66.77100     1.00013     0.04637 
   66.77200     1.00010     0.04644 
   66.77300     1.00009     0.04660 
   66.77400     1.00008     0.04668 
   66.77500     1.00009     0.04681 
   66.77600     1.00010     0.04700 
   66.77700     1.00009     0.04714 
   66.77800     1.00011     0.04726 
   66.77900     1.00010     0.04736 
   66.78000     1.00010     0.04757 
   66.78100     1.00010     0.04768 
   66.78200     1.00009     0.04776 
   66.78300     1.00008     0.04784 
   66.78400     1.00009     0.04785 
   66.78500     1.00011     0.04801 
   66.78600     1.00009     0.04819 
   66.78700     1.00009     0.04834 
   66.78800     1.00009     0.04845 
   66.78900     1.00008     0.04857 
   66.79000     1.00011     0.04871 
   66.79100     1.00010     0.04878 
   66.79200     1.00010     0.04890 
   66.79300     1.00009     0.04905 
   66.79400     1.00008     0.04914 
   66.79500     1.00009     0.04934 
   66.79600     1.00009     0.04940 
   66.79700     1.00009     0.04957 
   66.79800     1.00011     0.04977 
   66.79900     1.00010     0.04986 
   66.80000     1.00013     0.04998 
   66.80100     1.00012     0.05005 
   66.80200     1.00013     0.05013 
   66.80300     1.00011     0.05030 
   66.80400     1.00010     0.05037 
   66.80500     1.00011     0.05050 
   66.80600     1.00010     0.05076 
   66.80700     1.00007     0.05076 
   66.80800     1.00006     0.05096 
   66.80900     1.00009     0.05104 
   66.81000     1.00009     0.05128 
   66.81100     1.00009     0.05129 
   66.81200     1.00009     0.05144 
   66.81300     1.00008     0.05166 
   66.81400     1.00009     0.05164 
   66.81500     1.00013     0.05188 
   66.81600     1.00010     0.05196 
   66.81700     1.00007     0.05210 
   66.81800     1.00010     0.05206 
   66.81900     1.00010     0.05234 
   66.82000     1.00009     0.05238 
   66.82100     1.00008     0.05256 
   66.82200     1.00008     0.05263 
   66.82300     1.00007     0.05276 
   66.82400     1.00010     0.05293 
   66.82500     1.00010     0.05303 
   66.82600     1.00009     0.05316 
   66.82700     1.00010     0.05328 
   66.82800     1.00009     0.05341 
   66.82900     1.00008     0.05359 
   66.83000     1.00010     0.05365 
   66.83100     1.00010     0.05381 
   66.83200     1.00009     0.05395 
   66.83300     1.00011     0.05403 
   66.83400     1.00008     0.05413 
   66.83500     1.00008     0.05433 
   66.83600     1.00010     0.05444 
   66.83700     1.00009     0.05454 
   66.83800     1.00011     0.05468 
   66.83900     1.00009     0.05473 
   66.84000     1.00011     0.05488 
   66.84100     1.00009     0.05504 
   66.84200     1.00007     0.05517 
   66.84300     1.00007     0.05529 
   66.84400     1.00011     0.05534 
   66.84500     1.00009     0.05557 
   66.84600     1.00009     0.05562 
   66.84700     1.00013     0.05587 
   66.84800     1.00008     0.05587 
   66.84900     1.00009     0.05604 
   66.85000     1.00011     0.05625 
   66.85100     1.00008     0.05629 
   66.85200     1.00011     0.05643 
   66.85300     1.00009     0.05650 
   66.85400     1.00011     0.05672 
   66.85500     1.00011     0.05684 
   66.85600     1.00009     0.05698 
   66.85700     1.00007     0.05712 
   66.85800     1.00008     0.05727 
   66.85900     1.00011     0.05734 
   66.86000     1.00011     0.05742 
   66.86100     1.00011     0.05767 
   66.86200     1.00009     0.05765 
   66.86300     1.00009     0.05783 
   66.86400     1.00008     0.05798 
   66.86500     1.00011     0.05811 
   66.86600     1.00011     0.05828 
   66.86700     1.00011     0.05830 
   66.86800     1.00009     0.05854 
   66.86900     1.00010     0.05853 
   66.87000     1.00007     0.05874 
   66.87100     1.00012     0.05894 
   66.87200     1.00010     0.05911 
   66.87300     1.00010     0.05919 
   66.87400     1.00011     0.05924 
   66.87500     1.00008     0.05941 
   66.87600     1.00010     0.05953 
   66.87700     1.00013     0.05971 
   66.87800     1.00009     0.05983 
   66.87900     1.00011     0.06001 
   66.88000     1.00009     0.06007 
   66.88100     1.00011     0.06019 
   66.88200     1.00010     0.06040 
   66.88300     1.00011     0.06044 
   66.88400     1.00010     0.06069 
   66.88500     1.00010     0.06081 
   66.88600     1.00010     0.06087 
   66.88700     1.00013     0.06106 
   66.88800     1.00009     0.06112 
   66.88900     1.00012     0.06127 
   66.89000     1.00008     0.06140 
   66.89100     1.00010     0.06155 
   66.89200     1.00007     0.06165 
   66.89300     1.00010     0.06177 
   66.89400     1.00010     0.06196 
   66.89500     1.00009     0.06210 
   66.89600     1.00010     0.06223 
   66.89700     1.00008     0.06238 
   66.89800     1.00010     0.06245 
   66.89900     1.00010     0.06260 
   66.90000     1.00012     0.06272 
   66.90100     1.00012     0.06289 
   66.90200     1.00008     0.06297 
   66.90300     1.00010     0.06311 
   66.90400     1.00010     0.06325 
   66.90500     1.00009     0.06343 
