Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
0.68,0.43,-0.0268,7.3639,9.0114,3.2481,6.0939,1.1268,3.0434,0.5399,0.032,0.6304,-0.0002
0.69,0.4492,-0.0112,7.4556,9.1194,3.2833,6.0758,1.1815,3.0827,0.5157,-0.0297,0.667,0.0239
0.7,0.6462,0.0633,7.429,9.0546,3.0072,6.0136,1.2469,3.0729,0.496,0.0733,0.7305,0.0244
0.71,0.5448,-0.0247,7.3787,9.1147,3.1091,6.0671,1.1827,3.0326,0.5482,0.0444,0.5163,-0.0116
0.72,0.5596,0.037,7.5936,9.1399,3.0518,5.9869,1.228,3.0465,0.5288,-0.0343,0.6143,-0.0017
0.73,0.471,-0.012,7.4048,9.0605,3.0123,6.0355,1.064,3.007,0.404,0.0534,0.5397,-0.0696
0.74,0.3864,-0.0428,7.4798,9.1089,3.1233,6.0909,0.9287,3.0329,0.447,-0.0332,0.4389,-0.0086
0.75,0.422,0.0107,7.5228,9.0411,2.9722,6.0649,1.0825,3.0503,0.4488,-0.0105,0.6965,0.0283
0.76,0.4986,0.0024,7.2706,8.9734,3.1912,6.1099,1.199,3.0301,0.5253,0.0282,0.5889,-0.0249
0.77,0.4219,0.0078,7.4382,9.0918,3.2089,6.1103,1.2399,3.0939,0.4529,-0.0218,0.6421,0.0307
0.78,0.5469,0.0727,7.4041,9.0227,3.0189,5.9709,1.1329,3.0389,0.5413,0.0576,0.7832,0.1039
0.79,0.5421,-0.0123,7.4412,9.1238,3.135,6.0778,1.1289,2.9988,0.571,0.0076,0.4522,-0.0048
0.8,0.4954,0.0123,7.5653,9.1276,2.986,5.9843,1.171,3.0693,0.4189,-0.049,0.6307,0.0223
0.81,0.569,-0.0068,7.411,9.0575,3.0389,5.9908,1.1287,3.0051,0.4878,0.0039,0.5267,-0.0435
0.82,0.422,-0.0724,7.4359,9.0995,3.2404,6.1217,1.0188,3.016,0.3605,-0.0103,0.4333,-0.0319
0.83,0.4711,0.0369,7.4388,9.0277,3.1099,6.0307,1.1499,3.0899,0.398,0.0621,0.6084,-0.0085
0.84,0.6094,-0.0031,7.2158,9.0348,3.1319,6.0895,1.1847,3.0136,0.5304,0.0432,0.6087,0.017
0.85,0.4143,0.0555,7.454,9.0909,3.181,6.0594,1.0794,3.0645,0.471,-0.0059,0.6143,0.0356
0.86,0.683,0.0611,7.3588,9.0619,2.9698,6.0102,1.2043,3.0446,0.5275,0.0072,0.691,0.0491
0.87,0.558,-0.0096,7.4821,9.1184,3.132,6.075,1.067,2.9785,0.5391,-0.0018,0.5988,0.0453
